#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
284A11			p1_H11_A._phago-10e5_copy_TE_pos_30+15
64A12			p1_H12_mock_community_pos_30+15
168B1			p2_A01_AKC_2017_VB15-01753_testedNeg_30+15
689B2			p2_A02_AKC_2017_VB15-01761_testedNeg_30+15
130B3			p2_A03_AKC_2017_VB15-01766_testedNeg_30+15
350B4			p2_A04_AKC_2017_VB15-01768_testedNeg_30+15
337B5			p2_A05_AKC_2017_VB15-01828_testedNeg_30+15
115B6			p2_A06_AKC_2017_VB15-01886_testedNeg_30+15
620B7			p2_A07_AKC_2017_VB15-01888_testedNeg_30+15
805B8			p2_A08_AKC_2017_VB15-01894_testedNeg_30+15
387B9			p2_A09_AKC_2017_VB15-01918_testedNeg_30+15
418B10			p2_A10_AKC_2017_VB15-01928_testedNeg_30+15
20B11			p2_A11_AKC_2017_VB15-01954_testedNeg_30+15
535B12			p2_A12_AKC_2017_VB15-01959_testedNeg_30+15
540B1			p2_B01_AKC_2017_VB15-01981_testedNeg_30+15
79B2			p2_B02_AKC_2017_VB15-01983_testedNeg_30+15
72B3			p2_B03_AKC_2017_VB15-02028_testedNeg_30+15
693B4			p2_B04_AKC_2017_VB15-02089_testedNeg_30+15
769B5			p2_B05_AKC_2017_VB15-02100_testedNeg_30+15
525B6			p2_B06_AKC_2017_VB15-02109_testedNeg_30+15
685B7			p2_B07_AKC_2017_VB15-02113_testedNeg_30+15
453B8			p2_B08_AKC_2017_VB15-02121_testedNeg_30+15
625B9			p2_B09_AKC_2017_VB15-02135_testedNeg_30+15
102B10			p2_B10_AKC_2017_VB15-02142_testedNeg_30+15
89B11			p2_B11_AKC_2017_VB15-02158_testedNeg_30+15
751B12			p2_B12_AKC_2017_VB15-02169_testedNeg_30+15
78B1			p2_C01_AKC_2017_VB15-02184_testedNeg_30+15
800B2			p2_C02_AKC_2017_VB15-02185_testedNeg_30+15
15B3			p2_C03_AKC_2017_VB15-02190_testedNeg_30+15
755B4			p2_C04_AKC_2017_VB15-02203_testedNeg_30+15
16B5			p2_C05_AKC_2017_VB15-02206_testedNeg_30+15
45B6			p2_C06_AKC_2017_VB15-02236_testedNeg_30+15
845B7			p2_C07_AKC_2017_VB15-02263_testedNeg_30+15
403B8			p2_C08_AKC_2017_VB15-02277_testedNeg_30+15
862B9			p2_C09_AKC_2017_VB15-02300_testedNeg_30+15
201B10			p2_C10_AKC_2017_VB15-02301_testedNeg_30+15
593B11			p2_C11_AKC_2017_VB15-02309_testedNeg_30+15
401B12			p2_C12_AKC_2017_VB15-02317_testedNeg_30+15
362B1			p2_D01_AKC_2017_VB15-02321_testedNeg_30+15
308B2			p2_D02_AKC_2017_VB15-02338_testedNeg_30+15
818B3			p2_D03_AKC_2017_VB15-02345_testedNeg_30+15
860B4			p2_D04_AKC_2017_VB15-02359_testedNeg_30+15
434B5			p2_D05_AKC_2017_VB15-02367_testedNeg_30+15
443B6			p2_D06_AKC_2017_VB15-02373_testedNeg_30+15
756B7			p2_D07_AKC_2017_VB15-02393_testedNeg_30+15
561B8			p2_D08_AKC_2017_VB15-02398_testedNeg_30+15
96B9			p2_D09_AKC_2017_VB15-02419_testedNeg_30+15
537B10			p2_D10_AKC_2017_VB15-02438_testedNeg_30+15
360B11			p2_D11_AKC_2017_VB15-02453_testedNeg_30+15
760B12			p2_D12_AKC_2017_VB15-02456_testedNeg_30+15
591B1			p2_E01_AKC_2017_VB15-02526_testedNeg_30+15
838B2			p2_E02_AKC_2017_VB15-02531_testedNeg_30+15
412B3			p2_E03_AKC_2017_VB15-02559_testedNeg_30+15
248B4			p2_E04_AKC_2017_VB15-02567_testedNeg_30+15
59B5			p2_E05_AKC_2017_VB15-02583_testedNeg_30+15
660B6			p2_E06_AKC_2017_VB15-02596_testedNeg_30+15
840B7			p2_E07_AKC_2017_VB15-02608_testedNeg_30+15
815B8			p2_E08_AKC_2017_VB15-02619_testedNeg_30+15
573B9			p2_E09_AKC_2017_VB15-02629_testedNeg_30+15
726B10			p2_E10_AKC_2017_VB15-02637_testedNeg_30+15
358B11			p2_E11_AKC_2017_VB15-02645_testedNeg_30+15
440B12			p2_E12_AKC_2017_VB15-02665_testedNeg_30+15
316B1			p2_F01_AKC_2017_VB15-02687_testedNeg_30+15
272B2			p2_F02_AKC_2017_VB15-02691_testedNeg_30+15
11B3			p2_F03_AKC_2017_VB15-02697_testedNeg_30+15
211B4			p2_F04_AKC_2017_VB15-02703_testedNeg_30+15
340B5			p2_F05_AKC_2017_VB15-02708_testedNeg_30+15
867B6			p2_F06_AKC_2017_VB15-02731_testedNeg_30+15
77B7			p2_F07_AKC_2017_VB15-02747_testedNeg_30+15
629B8			p2_F08_AKC_2017_VB15-02751_testedNeg_30+15
94B9			p2_F09_AKC_2017_VB15-02760_testedNeg_30+15
778B10			p2_F10_AKC_2017_VB15-02780_testedNeg_30+15
736B11			p2_F11_AKC_2017_VB15-02825_testedNeg_30+15
649B12			p2_F12_AKC_2017_VB15-02841_testedNeg_30+15
607B1			p2_G01_AKC_2017_VB15-02858_testedNeg_30+15
476B2			p2_G02_AKC_2017_VB15-02868_testedNeg_30+15
373B3			p2_G03_AKC_2017_VB15-02870_testedNeg_30+15
877B4			p2_G04_AKC_2017_VB15-02891_testedNeg_30+15
18B5			p2_G05_AKC_2017_VB15-02898_testedNeg_30+15
46B6			p2_G06_AKC_2017_VB15-02910_testedNeg_30+15
257B7			p2_G07_AKC_2017_VB15-02932_testedNeg_30+15
750B8			p2_G08_AKC_2017_VB15-02947_testedNeg_30+15
249B9			p2_G09_AKC_2017_VB15-02949_testedNeg_30+15
231B10			p2_G10_AKC_2017_VB15-02968_testedNeg_30+15
565B11			p2_G11_AKC_2017_VB15-02971_testedNeg_30+15
204B12			p2_G12_AKC_2017_VB15-02993_testedNeg_30+15
822B1			p2_H01_AKC_2017_VB15-03009_testedNeg_30+15
486B2			p2_H02_AKC_2017_VB15-03028_testedNeg_30+15
279B3			p2_H03_AKC_2017_VB15-03041_testedNeg_30+15
480B4			p2_H04_AKC_2017_VB15-03052_testedNeg_30+15
338B5			p2_H05_AKC_2017_VB15-03074_testedNeg_30+15
10B6			p2_H06_AKC_2017_VB15-03078_testedNeg_30+15
803B7			p2_H07_NTC_neg_30+15
315B8			p2_H08_H2O_neg_30+15
179B9			p2_H09_Dog_DNA_neg_30+15
861B10			p2_H10_E._canis-10e5_copy_gDNA_pos_30+15
124B11			p2_H11_E._canis-10e5_copy_TE_pos_30+15
297B12			p2_H12_mock_community_pos_30+15
506C1			p3_A01_AKC_2017_VB15-03079_testedNeg_30+15
804C2			p3_A02_AKC_2017_VB15-03085_testedNeg_30+15
307C3			p3_A03_AKC_2017_VB15-03090_testedNeg_30+15
347C4			p3_A04_AKC_2017_VB15-03095_testedNeg_30+15
645C5			p3_A05_AKC_2017_VB15-03115_testedNeg_30+15
737C6			p3_A06_AKC_2017_VB15-03123_testedNeg_30+15
310C7			p3_A07_AKC_2017_VB15-03125_testedNeg_30+15
492C8			p3_A08_AKC_2017_VB15-03126_testedNeg_30+15
728C9			p3_A09_AKC_2017_VB15-03138_testedNeg_30+15
208C10			p3_A10_AKC_2017_VB15-03141_testedNeg_30+15
794C11			p3_A11_AKC_2017_VB15-03158_testedNeg_30+15
75C12			p3_A12_AKC_2017_VB15-03189_testedNeg_30+15
314C1			p3_B01_AKC_2017_VB15-03201_testedNeg_30+15
547C2			p3_B02_AKC_2017_VB15-03206_testedNeg_30+15
747C3			p3_B03_AKC_2017_VB15-03226_testedNeg_30+15
288C4			p3_B04_AKC_2017_VB15-03228_testedNeg_30+15
43C5			p3_B05_AKC_2017_VB15-03246_testedNeg_30+15
371C6			p3_B06_AKC_2017_VB15-03250_testedNeg_30+15
414C7			p3_B07_AKC_2017_VB15-03252_testedNeg_30+15
447C8			p3_B08_AKC_2017_VB15-03296_testedNeg_30+15
679C9			p3_B09_AKC_2017_VB15-03308_testedNeg_30+15
40C10			p3_B10_AKC_2017_excluded_testedNeg_30+15
541C11			p3_B11_AKC_2017_excluded_testedNeg_30+15
502C12			p3_B12_AKC_2017_excluded_testedNeg_30+15
714C1			p3_C01_AKC_2017_VB15-03390_testedNeg_30+15
397C2			p3_C02_AKC_2017_VB15-03392_testedNeg_30+15
570C3			p3_C03_AKC_2017_VB15-03399_testedNeg_30+15
290C4			p3_C04_AKC_2017_VB15-03422_testedNeg_30+15
366C5			p3_C05_AKC_2017_VB15-03425_testedNeg_30+15
509C6			p3_C06_AKC_2017_VB15-03630_testedNeg_30+15
150C7			p3_C07_AKC_2017_VB15-03642_testedNeg_30+15
323C8			p3_C08_AKC_2017_VB15-03643_testedNeg_30+15
309C9			p3_C09_AKC_2017_VB15-03703_testedNeg_30+15
82C10			p3_C10_AKC_2017_VB15-03717_testedNeg_30+15
788C11			p3_C11_AKC_2017_VB15-03730_testedNeg_30+15
579C12			p3_C12_AKC_2017_VB15-03797_testedNeg_30+15
612C1			p3_D01_AKC_2017_VB15-03810_testedNeg_30+15
839C2			p3_D02_AKC_2017_VB15-03824_testedNeg_30+15
8C3			p3_D03_AKC_2017_VB15-03843_testedNeg_30+15
